headword	gloss	root_form	root_language	justification
γῆ	earth, land, ground	γαῖα / gaĩa	Greek: Ancient	No certain etymology outside of Greek ([Chantraine 1968–1980](src-270):218-219, [Beekes 2010](src-66):269-270).
δάκνω	bite	*denk̑-	Proto-Indo-European	Greek and Indic lexemes derived from PIE *denk̑- 'to bite' ([LIV²](src-141) 117-118, [EWAia](src-172) I:688, [Beekes 2010](src-66):299). Sometimes connected to these lexemes are also  Tocharian AB tsāk- 'to bite', but these lexemes are probably better explained via PIE *dʰei̯Hgʷ- 'to sting' (cf. [LIV²](src-141) 142, [Ringe 1988-1990](src-592):71).
δένδρον	tree	*déru- ~ *dóru- ~ *dru-	Proto-Indo-European	Anatolian, Hellenic, Albanian, Iranic, Slavic, and Germanic lexemes derived from PIE *déru- ~ *dóru- ~ *dru- 'wood, tree' ([Kloekhorst 2008](src-80):849-850, [Chantraine 1968–1980](src-270):262-263, [Beekes 2010](src-66):315-316, [Demiraj 1997](src-369):146-148, [Orel 1998](src-105):76, [EWAia](src-172) I:721, [ESIJa](src-331) 2:357-365, [ESSJa](src-458) 4:211-213, [Derksen 2008](src-81):99, [Kroonen 2013](src-165):522-523, cf. [IEW](src-49) 214-217).
δέρμα	skin, hide	*der-	Proto-Indo-European	Hellenic lexemes from PIE *dér-mn̥ '(flayed) skin, leather' ([Chantraine 1968–1980](src-270):265-266, [Beekes 2010](src-66):318; a derivative of PIE *der- 'to tear (intr.), split' cf. [LIV²](src-141) 119-121).
δέω	tie, bind	*deh₁-	Proto-Indo-European	Hellenic lexemes from PIE *deh₁- 'to bind' ([Beekes 2010](src-66):321-322, [LIV²](src-141) 102, cf. [Babinotis 2010](src-382):338).
δίδωμι	give	*deh₃-	Proto-Indo-European	Hellenic, Armenian, Albanian, Indo-Iranic, Balto-Slavic, Italic, and Celtic lexemes derived from PIE *deh₃- 'to give' ([LIV²](src-141) 105-106, cf. [Beekes 2010](src-66):331-332, [Martirosyan 2010](src-79):595, [Demiraj 1997](src-369):154-155, [Orel 1998](src-105):157, [Rohr 2000](src-687):42-43, [EWAia](src-172) I:713-715, [Turner 1962–1966](src-442):489 no. 8655, [Cheung 2007](src-83):45-47, [ALEW](src-352) 246-248, [Derksen 2015](src-353):146-147, [ESSJa](src-458) 4:194-195, [Derksen 2008](src-81):96, [de Vaan 2008](src-54):174-175). The connection of Gaulish dede to this class is tentatively accepted (so [Matasović 2009](src-50):86), but cf. the discussion of [Delamarre 2003](src-157):138-139 regarding the possibility alternatively deriving the Gaulish form from PIE *dʰeh₁- 'to put, place'.
δακρύω	cry, weep	δάκρυ / dákru	Greek: Ancient	In spite of numerous phonological and morphological difficulties, often assumed to be root-cognate with Latin lācrima 'tear', Armenian artaswr 'tear', OHG zahar 'tear', Ved. áśru-, TochA ākär, Hittite išḫaḫru 'tear(s)', etc., (cf. [Hamp 1972](src-575)). The Leiden dictionaries (cf. [de Vaan 2008](src-54):322, [Beekes 2010](src-66):299-300) generally follow the proposal of [Kortlandt 1985a](src-574), assuming a common pre-form for the Greek and Latin forms as a nominal compound *dr̥k̑-h₂k̑ru- 'eye-bitter' containing the roots *derk̑- 'catch sight of, look at' and *h₂ek̑- 'be sharp'.
δεξιός	on the right hand, side	*dek̑s-	Proto-Indo-European	Hellenic, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes reflecting different derivations from PIE *dek̑s- 'to be suitable' ([Beekes 2010](src-66):316-317, [Demiraj 1997](src-369):137-138, [Orel 1998](src-105):67-68, [EWAia](src-172) I:690-691, [Turner 1962–1966](src-442):349 no. 6119, [ALEW](src-352) 199, [Derksen 2015](src-353):124, [ESSJa](src-458) 4:218-219, [Derksen 2008](src-81):100-101, [Kroonen 2013](src-165):512, [de Vaan 2008](src-54):168, {Matasović 2009}:97, cf. [LIV²](src-141) 112)
δύο	two	*du̯o-, *du̯i-	Proto-Indo-European	Lexemes continuing PIE *du̯o-, *du̯i- 'two' ([Eichner 1982](src-342):1-141, [LIPP 2](src-294):168-174, cf. [Kloekhorst 2008](src-80):826-827, [Adams 2013](src-345):651, [Beekes 2010](src-66):359, [Martirosyan 2010](src-79):268-269, [Demiraj 1997](src-369):151-152, [Orel 1998](src-105):79, [EWAia](src-172) I:761-763, [ESIJa](src-331) II:481-490, [ALEW](src-352) 235-237, [Derksen 2015](src-353):143, [ESSJa](src-458) 5:185-186, [Derksen 2008](src-81):130, [Kroonen 2013](src-165):529, [de Vaan 2008](src-54):183, [Vendryes et al. 1959–1996](src-296) D:6, [Matasović 2009](src-50):110)
εἷς	one	*sem-	Proto-Indo-European	Anatolian, Tocharian, Greek, and Armenian lexemes derived from PIE *sem- 'one (collective)' ([LIPP 2](src-294):671-679, cf. [Kloekhorst 2008](src-80):750-751, [Adams 2013](src-345):721-722, [Beekes 2010](src-66):394, [Martirosyan 2010](src-79):467-468).
εὐθύς	straight, direct	εὐθύς / euthýs	Greek: Ancient	No satisfactory etymology outside of Greek; for some proposed inner-Greek connections cf. [Chantraine 1968–1980](src-270):384-385, [Beekes 2010](src-66):479.
εὐρύς	wide, broad	*h₁u̯erH-	Proto-Indo-European	Hellenic, Indo-Iranic, and Italic lexemes from PIE *h₁urH-ú- 'broad, wide', presupposing a full-grade root *h₁u̯erH- (cf. [Beekes 2010](src-66):483-484, [EWAia](src-172) I:227, [Abaev 1959–1995](src-156) IV:90-91, [Untermann 2000](src-279):310, [de Vaan 2008](src-54):645).
ζάω	I live	*gʷi̯eh₃-	Proto-Indo-European	Tocharian, Greek, Armenian, Indo-Iranic, Balto-Slavic, Italic, and Celtic lexemes derived from PIE *gʷi̯eh₃- 'to live' ([LIV²](src-141) 215-216, cf. [Adams 2013](src-345):683-684, [Beekes 2010](src-66):505, [Martirosyan 2010](src-79):356-357, [EWAia](src-172) I:594, [Cheung 2007](src-83):222-223, [ALEW](src-352) 338-340, [Derksen 2008](src-81):652, [de Vaan 2008](src-54):685-686, [Matasović 2009](src-50):67).
θάλαττα	sea	*tʰalak⁽ʰ⁾i̯a	Proto-Greek	Of obscure origin, probably a prehistoric loanword (cf. [Chantraine 1968–1980](src-270):420, [Beekes 2010](src-66):530 for discussion of various hypotheses). The different dialectal forms point to either a Proto-Greek or borrowed source form *tʰalak⁽ʰ⁾i̯a (vel sim.).
θερμός	hot, warm	*gʷʰer-	Proto-Indo-European	Hellenic, Armenian, Albanian, Iranic, and Germanic lexemes derived from PIE *gʷʰer- 'to become warm' ([NIL](src-274) 196-199, cf. [Beekes 2010](src-66):541-542, [Martirosyan 2010](src-79):556-557, [Demiraj 1997](src-369):298, [Orel 1998](src-105):303, 525, [EWAia](src-172) I:513, [Kroonen 2013](src-165):575). Most lexemes in this class (Greek, Armenian, Iranic, Germanic) reflect a PIE adjectival stem *gʷʰer-mó-. Albanian is only root-cognate with the rest of the forms and has a distinct stem formation (cf. [Demiraj 1997](src-369):298 for further discussion).
θηρεύω	hunt	*g̑ʰu̯eh₁r-	Proto-Indo-European	Greek θηρεύω is a secondary formation to an old IE root noun *g̑ʰu̯eh₁r- 'wild animal' (> AGk. θήρ) ([Chantraine 1968–1980](src-270):435-436, [Beekes 2010](src-66):547).
θρίξ	hair	θρίξ / thríx	Greek: Ancient	Stem alternation between, e.g., nominative singular θρίξ, genitive singular τριχός due to Graßmann's Law point to a Proto-Greek stem *tʰrikʰ-, but further connections outside of Greek are unclear ([Frisk 1960-1972](src-174) I:684, [Chantraine 1968–1980](src-270):441-442, [Beekes 2010](src-66):556).
κάθημαι	be seated, sit	*h₁eh₁s-	Proto-Indo-European	Anatolian, Hellenic, and Indo-Iranic lexemes reflecting an original athematic root-present to PIE *h₁eh₁s- 'to sit' ([LIV²](src-141) 232, [Kloekhorst 2008](src-80):252-255, [Beekes 2010](src-66):518, [EWAia](src-172) I:181).
κέρας	horn (of an animal)	*k̑er-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Indo-Iranic, Germanic, Italic, and Celtic lexemes derived from a basic PIE root *k̑er- (cf. [Nussbaum 1986](src-544) for extensive discussion of formations in the meaning 'head' and 'horn' derived from this root). Cf. also [Kloekhorst 2008](src-80):456-457, [Adams 2013](src-345):235 [but cf. [Hilmarsson 1996](src-149):182 deriving to *gʰreh₁-u̯r̥], [Beekes 2010](src-66):676-677, [EWAia](src-172) II:653, [Kroonen 2013](src-165):259, [de Vaan 2008](src-54):136-137, [Matasović 2009](src-50):190-191).
κέρκος	tail (of an animal)	κέρκος / kérkos	Greek: Ancient	No known etymology outside of Greek ([Chantraine 1968–1980](src-270):519-520, [Beekes 2010](src-66):679).
καίομαι	be lighted, burn	*k̑eh₂u̯-	Proto-Indo-European	Hellenic lexemes derived from PIE *k̑eh₂u̯- 'to kindle; to burn' ([LIV²](src-141) 345, [Beekes 2010](src-66):618, cf. [Chantraine 1968–1980](src-270):480-481). For the root reconstruction with initial palatovelar *k̑- (rather than plain velar *k-) cf. [LIV² Addenda \& Corrigenda](src-389).
καθεύδω	lay down to sleep, sleep	εὕδω / heúdō	Greek: Ancient	No consensus etymology; cf. [Frisk 1960-1972](src-174):585, [Chantraine 1968–1980](src-270):384, and [Beekes 2010](src-66):478 for various proposals.
κακός	bad	*kako-	Proto-Greek	Possibly to be connected with Proto-Albanian *kakii̯ā̆- (cf. [Schumacher & Matzinger 2013](src-364):239), but it is difficult to be fully certain of the etymology (cf. [Beekes 2010](src-66):619-620. Cf. further in [cognate set 6597](cog-6597).
καπνός	smoke	?*kʷu̯ap-	Proto-Indo-European	Possibly to IE *kʷu̯ap- (or less likely *kʷu̯eh₂p-) if to be compared with Lat. vapor 'steam, exhalation', Lith. kvė̃pti 'breathe' ([ALEW](src-352) 545-546, [Derksen 2015](src-353):268), but these connections are not fully certain due to several irregular sound-changes needed to justify the comparison (cf. Chantraine 1968–1980}:494-495, [Beekes 2010](src-66):638-639).
καρδία	heart	*k̑erd-	Proto-Indo-European	Anatolian, Hellenic, Armenian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes from PIE *k̑erd- 'heart' ([NIL](src-274) 417-423, cf. [Kloekhorst 2008](src-80):469-471, [Beekes 2010](src-66):644, [Martirosyan 2010](src-79):576-578, [EWAia](src-172) II:818, [ALEW](src-352) 1032-1034, [Derksen 2015](src-353):448-449, [Derksen 2008](src-81):485, [de Vaan 2008](src-54):134-135, [Matasović 2009](src-50):223-224). The irregular correspondence of Proto-Indo-Iranic word-initial *j́ʰ- (> Ved. h-, Av. z-) is presumably due to contamination with Proto-Indo-Iranic outcome of PIE *g̑ʰórh₁-/g̑ʰr̥h₁- 'guts', cf. cognate set 2672.
καρπός	fruit, produce	*(s)kerp-	Proto-Indo-European	Root ref. form follows [LIV²](src-141) 559; cf. also [Chantraine 1968–1980](src-270):200, [Beekes 2010](src-66):649, and [Kloekhorst 2008](src-80):452-453 (s.v. Hitt. karp(ii̯e/a)- 'to take (away), take up, lift, pluck').
κεφαλή	head (of humans or animals)	*gʰebʰh₂l-	Proto-Indo-European	Hellenic lexemes from a PIE stem *gʰebʰh₂l-. A reconstruction with a laryngeal *-h₂- is required because of the connection with Tocharian AB śpāl 'head'; also connected with OHG gebal 'skull' (cf. [Chantraine 1968–1980](src-270):522, [Beekes 2010](src-66):682-683, [Adams 2013](src-345):703).
κρέας	flesh, meat	*kreu̯h₂-	Proto-Indo-European	Hellenic lexemes derived from PIE *kreu̯h₂- '(clotted) blood, blood outside of the body, gore' ([NIL](src-274) 444-448, [Chantraine 1968–1980](src-270):580, [Beekes 2010](src-66):774).
κρύπτω	hide, cover (something)	κρύπτω / krýptō	Greek: Ancient	No precise correspondences outside of Greek ([Chantraine 1968–1980](src-270):589, [Beekes 2010](src-66):786-787). The closest possible correspondences are in Balto-Slavic (cf. OCS kryti 'hide', Lith. kráuti 'heap' in [cognate set 5275](cog-5275)), but the connection is uncertain.
κρύσταλλος	ice, rock crystal	κρύσταλλος / krýstallos	Greek: Ancient	Generally considered a derivative of Ancient Greek κρύος 'cold' in the older literature (cf. [Frisk 1960-1972](src-174) II:28-29, [Chantraine 1968–1980](src-270):588-589), although the stem-formation is obscure. [Beekes 2010](src-66):787 therefore has rejected the older proposed etymology in favour of assuming a substratum borrowing from a 'Pre-Greek' language. A third possibility is that there has been some degree of contamination or blending of the lexical root underlying Ancient Greek κρύος with some other (substratum?) lexical material (cf. note by Scarborough in this class), although this too is a speculative solution.
κόνις	dust	*(s)ken(H)-	Proto-Indo-European	Hellenic lexemes as though from PIE *ken(H)-is- ([Chantraine 1968–1980](src-270):562, [Beekes 2010](src-66):746-747, [Babinotis 2010](src-382):706, 1284, cf. [de Vaan 2008](src-54):115). The connection of Albanian hi 'ash' to this class (cf. [cognate set 850](cog-850)) presupposes the reconstruction of an s-mobile root *(s)ken(H)- (cf. [Huld 1984](src-571):74, [Orel 1998](src-105):47).
κύκλιος	round, circular	*kʷelh₁-	Proto-Indo-European	Hellenic lexemes in the meaning 'round' as a derived relational adjective from Ancient Greek κύκλος 'circle, ring, wheel' < PIE *kʷe-kʷl-o- 'circle; wheel', a derivative to PIE *kʷelh₁- 'to turn' ([Beekes 2010](src-66):798-799, cf. [LIV²](src-141) 386-388).
κύων	dog	*k̑u̯ón-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Baltic, Germanic, Italic, and Celtic lexemes continuing PIE *k̑u̯ón-, *k̑un-, *k̑u̯n̥-, the inherited Indo-European word for 'dog' ([NIL](src-274) 436-440, [EIEC](src-657) 168, cf. [Melchert 1989](src-692), [Kloekhorst 2008](src-80):505-506, [Hilmarsson 1996](src-149):187, [Adams 2013](src-345):190, [Martirosyan 2010](src-79):520-522, Beekes 2010}:811, [EWAia](src-172) II:674-675, [ALEW](src-352) 1054-1055, [Derksen 2015](src-353):455, [Kroonen 2013](src-165):256, [de Vaan 2008](src-54):87, [Matasović 2009](src-50):181).
λέγω	say, speak	*leg̑-	Proto-Indo-European	Hellenic lexemes derived from PIE *leg̑- 'to collect, to pick up' ([Chantraine 1968–1980](src-270):625-626, [Beekes 2010](src-66):841-842, [LIV²](src-141) 397).
λίθος	stone	λίθος / líthos	Greek: Ancient	No certain etymology outside of Greek (cf. [Frisk 1960-1972](src-174) II:122, [Chantraine 1968–1980](src-270):640, [Beekes 2010](src-66):861).
λίμνη	lake, marsh	*lei̯-	Proto-Indo-European	Tocharian and Hellenic lexemes derived from PIE *lei̯- ([Beekes 2010](src-66):843-844, [Adams 2013](src-345):614). The Tocharian lexemes are generally considered to be based on an *mn-stem neuter to an IE root *lei̯- ([Ringe 1996](src-695):109, [Adams 2013](src-345):614), and connected to the complex of words surrounding Gk. λειμών 'wet, grassy place, meadow' λίμην 'harbour', and λίμνη 'lake', but cf. [van Windekens 1976](src-76):271-272 for older hypotheses.
λευκός	white, light	*leu̯k-	Proto-Indo-European	Hellenic lexemes derived from PIE *leu̯k- 'to become bright' ([Chantraine 1968–1980](src-270):632-633, [Beekes 2010](src-66):851, cf. [LIV²](src-141) 418-419).
λεῖος	smooth (to the touch)	*(s)lei̯-	Proto-Indo-European	Hellenic, Italic, and Celtic lexemes traditionally reconciled to a basic root *lei̯- 'smooth', although the Celtic forms here may also require s-mobile (cf. ([IEW](src-49) 662-664, [Falileyev 2000](src-240):103, [Matasović 2009](src-50):346, [Beekes 2010](src-66):844, [de Vaan 2008](src-54):336-337). The Germanic forms derived from PIE *slei̯g̑- 'smear, make smooth' in [cognate set 8680](cog-8680) might be an extended form of this root. See further discussion in that cognate class.
μάχομαι	fight	μάχομαι / máchomai	Greek: Ancient	No consensus etymology outside of Greek (cf. [Chantraine 1968–1980](src-270):673-674, [Beekes 2010](src-66):916-917); [Malzahn & Peters 2010](src-648) propose a connection to Tocharian B mäk- 'run', but the meanings are divergent (cf. 'run' in [cognate set 7203](cog-7203)). [LIV²](src-141) 422 assigns to *magʰ- 'to be able'.
μέγας	big, large	*meg̑-	Proto-Indo-European	Hellenic, Armenian, Albanian, Indo-Iranic, Germanic, Italic, and Celtic lexemes derived from PIE *meg̑- 'big' ([NIL](src-274) 468-478, cf. [Beekes 2010](src-66):917-918, [Martirosyan 2010](src-79):458-460, [Demiraj 1997](src-369):250-251, [Orel 1998](src-105):240, [EWAia](src-172) II:337-338, [Kroonen 2013](src-165):361-362, [de Vaan 2008](src-54):358-359, [Matasović 2009](src-50):253). For Tocharian lexemes not in the target meaning attached to this class, cf. [Adams 2013](src-345):479-480.
μέλας	black, dark	*melh₂-	Proto-Indo-European	Hellenic and Baltic lexemes generally connected with Indic lexemes in the meaning 'dirty' ([Chantraine 1968–1980](src-270):680-681, [Beekes 2010](src-66):923-924; cf. [Derksen 2015](src-353):554, [EWAia](src-172) II:332-333).
μακρός	long	*meh₂k̑-	Proto-Indo-European	Hellenic lexemes from a zero-grade derivative *mh₂k̑-ró-, derived from PIE *meh₂k̑- 'long, thin, tall' ([Chantraine 1968–1980](src-270):660-661, [Beekes 2010](src-66):895, [NIL](src-274) 478-481, cf. [Babinotis 2010](src-382):810).
μηρός	thigh	*mē(m)s-	Proto-Indo-European	Hellenic lexemes from PIE *mē(m)s- 'meat' ([NIL](src-274) 486-488, [Beekes 2010](src-66):947).
μικρός	small	(σ)μικρός / (s)mikrós	Greek: Ancient	Without clear correspondences outside of Greek ([Frisk 1960-1972](src-174) II:236-237, [Beekes 2010](src-66):951-952).
μύρμηξ	ant	*moru̯i-	Proto-Indo-European	Many irregular developments, often assumed to be due to taboo deformation, but all the lexemes are generally assumed to come from a common Indo-European source. The metathesised stem *u̯orm- as found in Vedic, etc. is generally assumed to be a taboo-deformation while the forms found in Avestan maoiri-, Old Irish moirb are often assumed to be most closely reflect to the original ([EIEC](src-657) 24). For individual branches, cf. [Adams 2013](src-345):630, [Beekes 2010](src-66):982, [Martirosyan 2010](src-79):482-483, [EWAia](src-172) II:507, [ESSJa](src-458) 19:241-249, [Derksen 2008](src-81):326, [Kroonen 2013](src-165):359, [de Vaan 2008](src-54):243, [Matasović 2009](src-50):278.
μῦα	fly	*mus-	Proto-Indo-European	Hellenic, Albanian, Balto-Slavic, and Italic lexemes derived from PIE *mus- 'fly, gnat', cf. [Beekes 2010](src-66):976, [Demiraj 1997](src-369):270, [Orel 1998](src-105):268, [ALEW](src-352) 673-674, [Derksen 2015](src-353):326, [ESSJa](src-458) 20:170-172, [Derksen 2008](src-81):330-331, [de Vaan 2008](src-54):397).
νέος	new	*neu̯-	Proto-Indo-European	Anatolian, Tocharian, Hellenic, Armenian, Indo-Iranic, Balto-Slavic, Germanic, Italic, and Celtic lexemes derived from PIE *neu̯- 'new' ([NIL](src-274) 524-526, cf. [Kloekhorst 2008](src-80):605, [Adams 2013](src-345):287-288, [Beekes 2010](src-66):1009, [Hübschmann 1897](src-564):479, [EWAia](src-172) II:25, [ALEW](src-352) 690-691, [Derksen 2015](src-353):330-331, [ESSJa](src-458) 26:9-13, [Derksen 2008](src-81):357, [Kroonen 2013](src-165):389, [de Vaan 2008](src-54):416, {ref Matasović 2009:293). Not the same root as PIE *neu̯- 'to nod, tilt (the head)' (cf. [LIV²](src-141) 455-456)
νέφος	cloud	*nebʰ-	Proto-Indo-European	Hellenic, Armenian, Indo-Iranic, and Baltic derivatives from PIE *nebʰ- 'become damp, cloudy, misty' ([NIL](src-274) 499-504). Cf. also [ALEW](src-352) 186-187, [Derksen 2015](src-353):118, [Beekes 2010](src-66):1012, [EWAia](src-172) I:94, [Martirosyan 2010](src-79):49-51).
νέω	swim	*(s)neh₂-	Proto-Indo-European	Tocharian, Hellenic, Indo-Iranic, Italic, and Celtic lexemes derived from PIE *(s)neh₂- 'to bathe, swim' ([LIV²](src-141) 572-573; cf. [Adams 2013](src-345):354-355, [Beekes 2010](src-66):1012-1013, [EWAia](src-172) II:769-770, [Turner 1962–1966](src-442):39, [Cheung 2007](src-83):348-349, [de Vaan 2008](src-54):411, [Matasović 2009](src-50):348).
νίζω	wash (hands and feet)	*nei̯gʷ-	Proto-Indo-European	Hellenic, Indo-Iranic, and Celtic lexemes from PIE *nei̯gʷ- 'to wash' ([LIV²](src-141) 450, cf. [Beekes 2010](src-66):1020-1021, [EWAia](src-172) II:54, [Turner 1962–1966](src-442):410 no. 7167, [Vendryes et al. 1959–1996](src-296) N:16-17, [Matasović 2009](src-50):290-291).
νύξ	night	*negʷ-	Proto-Indo-European	Hellenic, Albanian, Indo-Iranic, Balto-Slavic, Germanic, Italic and Celtic lexemes derived from PIE *nógʷt-/*négʷt- 'evening, night', a dental-stem derivative of PIE *negʷ- 'to become dark, dawn' ([NIL](src-274) 504-513, [LIV²](src-141) 449, cf. {ref {Beekes 2010}:1027, [Demiraj 1997](src-369):283-284, [Orel 1998](src-105):282-283, [EWAia](src-172) II:2-3, [Steblin-Kamenskij 1999](src-321):242, [ALEW](src-352) 683-684, [Derksen 2015](src-353):327-328, [ESSJa](src-458) 25:175-177, [Derksen 2008](src-81):355, [Kroonen 2013](src-165):381, [de Vaan 2008](src-54):416-417, [Matasović 2009](src-50):293-294). The Brythonic lexemes in this class are sometimes considered to be (parallel?) loanwords from Latin (cf. [Matasović 2009](src-50):293-294, [Deshayes 2003](src-309):539-540), but by others to be inherited (cf. [Geiriadur Prifysgol Cymru (GPC)](src-236), [Falileyev 2000](src-240):121, [NIL](src-274) 509n10). The assumption that these lexemes are inherited has been followed here.
νῶτον	back (of men and animals)	νῶτον / nō̃ton	Greek: Ancient	No certain etymology outside of Greek (cf. [Chantraine 1968–1980](src-270):762, [Beekes 2010](src-66):1031).
ξανθός	yellow	ξανθός / xanthós	Greek: Ancient	Etymology outside of Greek uncertain ([Frisk 1960-1972](src-174): II:333, [Chantraine 1968–1980](src-270):763-764, [Beekes 2010](src-66):1033).
ξηρός	dry	ξηρός / xērós	Greek: Ancient	Connections outside of Greek unclear; occasionally proposed to Arm. čʻor 'dry' (cf. [cognate set 5006](cog-5006)), but this requires postulating a sound law in Armenian for which this is the only example (cf. [Clackson 1994](src-319):182, [Beekes 2010](src-66):1035-1036, [Martirosyan 2010](src-79):546).
οἰδέω	swell, become swollen	*h₂ei̯d-	Proto-Indo-European	Greek and Armenian lexemes derived from PIE *h₂ei̯d- 'to swell' ([LIV²](src-141) 258-259, [Beekes 2010](src-66):1053-1054, [Martirosyan 2010](src-79):61). Albanian forms in [cognate set 8292](cog-8292) might be cognate to this set but ultimately uncertain, cf. discussion in that cognate class.
οἰκία	house	*u̯ei̯k̑-	Proto-Indo-European	Hellenic and Indo-Iranic lexemes derived from PIE *u̯ei̯k̑-/*u̯oi̯k̑- 'house' ([Beekes 2010](src-66):1055-1056, [EWAia](src-172) II:584-585, cf. [LIV²](src-141) 669-670).
οἴομαι	think, suppose, believe	οἴομαι / oíomai	Greek: Ancient	Etymology outside of Greek unknown, possibly to PIE *h₂eu̯- 'to perceive' if a de-adverbial formation as though from *h₂ou̯is-i̯é- ([Beekes 2010](src-66):1059-1060, cf. [Chantraine 1968–1980](src-270):785-786).
οἶδα	know	*u̯ei̯d-	Proto-Indo-European	Hellenic, Armenian, Indo-Iranic, Balto-Slavic, Germanic, and Celtic lexemes from the perfect stem *u̯oi̯d- 'to know' (< *'to have seen') from PIE *u̯ei̯d- 'to catch sight of' ([LIV²](src-141) 665-667, cf. [Beekes 2010](src-66):1053, [Martirosyan 2010](src-79):211, [EWAia](src-172) II:579-581, [Cheung 2007](src-83):408-409, [Derksen 2015](src-353):566, [Derksen 2008](src-81):518), Matasović 2009}:422-423).
